dataset_id,corruption_name,fraction,dataset_type
725,imputer_simple_mcar,0.01,binary classification
725,imputer_simple_mcar,0.05,binary classification
725,imputer_simple_mcar,0.1,binary classification
725,imputer_simple_mcar,0.3,binary classification
725,imputer_simple_mcar,0.5,binary classification
310,imputer_simple_mcar,0.01,binary classification
310,imputer_simple_mcar,0.05,binary classification
310,imputer_simple_mcar,0.1,binary classification
310,imputer_simple_mcar,0.3,binary classification
310,imputer_simple_mcar,0.5,binary classification
1046,imputer_simple_mcar,0.01,binary classification
1046,imputer_simple_mcar,0.05,binary classification
1046,imputer_simple_mcar,0.1,binary classification
1046,imputer_simple_mcar,0.3,binary classification
1046,imputer_simple_mcar,0.5,binary classification
823,imputer_simple_mcar,0.01,binary classification
823,imputer_simple_mcar,0.05,binary classification
823,imputer_simple_mcar,0.1,binary classification
823,imputer_simple_mcar,0.3,binary classification
823,imputer_simple_mcar,0.5,binary classification
137,imputer_simple_mcar,0.01,binary classification
137,imputer_simple_mcar,0.05,binary classification
137,imputer_simple_mcar,0.1,binary classification
137,imputer_simple_mcar,0.3,binary classification
137,imputer_simple_mcar,0.5,binary classification
42493,imputer_simple_mcar,0.01,binary classification
42493,imputer_simple_mcar,0.05,binary classification
42493,imputer_simple_mcar,0.1,binary classification
42493,imputer_simple_mcar,0.3,binary classification
42493,imputer_simple_mcar,0.5,binary classification
4135,imputer_simple_mcar,0.01,binary classification
4135,imputer_simple_mcar,0.05,binary classification
4135,imputer_simple_mcar,0.1,binary classification
4135,imputer_simple_mcar,0.3,binary classification
4135,imputer_simple_mcar,0.5,binary classification
251,imputer_simple_mcar,0.01,binary classification
251,imputer_simple_mcar,0.05,binary classification
251,imputer_simple_mcar,0.1,binary classification
251,imputer_simple_mcar,0.3,binary classification
251,imputer_simple_mcar,0.5,binary classification
151,imputer_simple_mcar,0.01,binary classification
151,imputer_simple_mcar,0.05,binary classification
151,imputer_simple_mcar,0.1,binary classification
151,imputer_simple_mcar,0.3,binary classification
151,imputer_simple_mcar,0.5,binary classification
40922,imputer_simple_mcar,0.01,binary classification
40922,imputer_simple_mcar,0.05,binary classification
40922,imputer_simple_mcar,0.1,binary classification
40922,imputer_simple_mcar,0.3,binary classification
40922,imputer_simple_mcar,0.5,binary classification
40498,imputer_simple_mcar,0.01,multiclass classification
40498,imputer_simple_mcar,0.05,multiclass classification
40498,imputer_simple_mcar,0.1,multiclass classification
40498,imputer_simple_mcar,0.3,multiclass classification
40498,imputer_simple_mcar,0.5,multiclass classification
30,imputer_simple_mcar,0.01,multiclass classification
30,imputer_simple_mcar,0.05,multiclass classification
30,imputer_simple_mcar,0.1,multiclass classification
30,imputer_simple_mcar,0.3,multiclass classification
30,imputer_simple_mcar,0.5,multiclass classification
1459,imputer_simple_mcar,0.01,multiclass classification
1459,imputer_simple_mcar,0.05,multiclass classification
1459,imputer_simple_mcar,0.1,multiclass classification
1459,imputer_simple_mcar,0.3,multiclass classification
1459,imputer_simple_mcar,0.5,multiclass classification
1481,imputer_simple_mcar,0.01,multiclass classification
1481,imputer_simple_mcar,0.05,multiclass classification
1481,imputer_simple_mcar,0.1,multiclass classification
1481,imputer_simple_mcar,0.3,multiclass classification
1481,imputer_simple_mcar,0.5,multiclass classification
184,imputer_simple_mcar,0.01,multiclass classification
184,imputer_simple_mcar,0.05,multiclass classification
184,imputer_simple_mcar,0.1,multiclass classification
184,imputer_simple_mcar,0.3,multiclass classification
184,imputer_simple_mcar,0.5,multiclass classification
375,imputer_simple_mcar,0.01,multiclass classification
375,imputer_simple_mcar,0.05,multiclass classification
375,imputer_simple_mcar,0.1,multiclass classification
375,imputer_simple_mcar,0.3,multiclass classification
375,imputer_simple_mcar,0.5,multiclass classification
32,imputer_simple_mcar,0.01,multiclass classification
32,imputer_simple_mcar,0.05,multiclass classification
32,imputer_simple_mcar,0.1,multiclass classification
32,imputer_simple_mcar,0.3,multiclass classification
32,imputer_simple_mcar,0.5,multiclass classification
41027,imputer_simple_mcar,0.01,multiclass classification
41027,imputer_simple_mcar,0.05,multiclass classification
41027,imputer_simple_mcar,0.1,multiclass classification
41027,imputer_simple_mcar,0.3,multiclass classification
41027,imputer_simple_mcar,0.5,multiclass classification
6,imputer_simple_mcar,0.01,multiclass classification
6,imputer_simple_mcar,0.05,multiclass classification
6,imputer_simple_mcar,0.1,multiclass classification
6,imputer_simple_mcar,0.3,multiclass classification
6,imputer_simple_mcar,0.5,multiclass classification
40685,imputer_simple_mcar,0.01,multiclass classification
40685,imputer_simple_mcar,0.05,multiclass classification
40685,imputer_simple_mcar,0.1,multiclass classification
40685,imputer_simple_mcar,0.3,multiclass classification
40685,imputer_simple_mcar,0.5,multiclass classification
43572,imputer_simple_mcar,0.01,multiclass classification
43572,imputer_simple_mcar,0.05,multiclass classification
43572,imputer_simple_mcar,0.1,multiclass classification
43572,imputer_simple_mcar,0.3,multiclass classification
43572,imputer_simple_mcar,0.5,multiclass classification
