,usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
0,usual,ERRORABC123!?,complete,1,ERRORABC123!?,ERRORABC123!?,nonprob,ERRORABC123!?,ERRORABC123!?
1,usual,proper,ERRORABC123!?,ERRORABC123!?,convenient,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,not_recom
2,ERRORABC123!?,proper,complete,1,convenient,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
3,usual,ERRORABC123!?,complete,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,priority,priority
4,usual,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,convenient,slightly_prob,ERRORABC123!?,ERRORABC123!?
5,usual,proper,ERRORABC123!?,ERRORABC123!?,convenient,ERRORABC123!?,ERRORABC123!?,recommended,priority
6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,convenient,ERRORABC123!?,problematic,ERRORABC123!?,ERRORABC123!?
7,ERRORABC123!?,proper,complete,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,not_recom,ERRORABC123!?
8,ERRORABC123!?,proper,complete,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,nonprob,recommended,very_recom
9,ERRORABC123!?,ERRORABC123!?,complete,1,convenient,ERRORABC123!?,nonprob,ERRORABC123!?,ERRORABC123!?
10,ERRORABC123!?,proper,complete,ERRORABC123!?,ERRORABC123!?,inconv,nonprob,ERRORABC123!?,ERRORABC123!?
11,usual,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,convenient,inconv,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
12,ERRORABC123!?,ERRORABC123!?,complete,ERRORABC123!?,ERRORABC123!?,inconv,slightly_prob,ERRORABC123!?,priority
13,ERRORABC123!?,proper,complete,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,slightly_prob,not_recom,ERRORABC123!?
14,ERRORABC123!?,ERRORABC123!?,complete,ERRORABC123!?,convenient,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
15,ERRORABC123!?,proper,complete,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,problematic,ERRORABC123!?,ERRORABC123!?
16,ERRORABC123!?,ERRORABC123!?,complete,ERRORABC123!?,convenient,inconv,ERRORABC123!?,not_recom,ERRORABC123!?
17,usual,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,convenient,ERRORABC123!?,recommended,ERRORABC123!?
18,ERRORABC123!?,proper,complete,ERRORABC123!?,less_conv,ERRORABC123!?,nonprob,priority,ERRORABC123!?
