id,start,end,event,size,state
1,0,913439,0,14,0
1,913439,1292405,1,14,0
1,1292405,1540749,0,14,1
-9999999,0,50170,0,14,0
3,0,913439,0,18,0
-9999999,913439,1292405,-9999999,18,
3,1292405,1540749,0,18,1
4,0,50170,0,-9999999,0
5,0,374586,0,13,0
6,0,374586,0,74,
7,0,374586,-9999999,53,0
8,0,343394,0,45,0
10,0,122056,1,60,0
-9999999,122056,163760,0,46,1
11,0,6230,1,60,0
11,6230,570075,1,60,1
11,570075,570142,1,54,1
11,570142,696434,1,56,1
11,696434,1338414,0,51,1
-9999999,1338414,1717380,1,37,1
11,1717380,1802721,0,37,1
9,0,1925158,-9999999,113,0
12,-9999999,337409,1,12,0
12,337409,585753,0,12,1
13,0,337409,1,995,0
-9999999,337409,585753,0,995,1
14,0,73979,-9999999,86,0
-9999999,-9999999,1496988,0,12,0
15,1496988,1920116,0,59,0
16,0,73979,0,86,0
17,0,-9999999,0,12,0
18,0,-9999999,0,86,0
19,0,333561,0,141,0
20,0,163760,0,-9999999,0
21,0,47094,1,208,0
21,-9999999,118999,0,12,1
21,118999,334285,-9999999,12,1
21,334285,773350,0,12,1
22,0,321117,0,25,0
-9999999,321117,333561,1,177,0
22,333561,334285,1,-9999999,1
22,-9999999,337695,1,139,1
22,-9999999,1035122,1,137,1
22,1035122,1338413,0,96,1
22,1338413,1690336,1,96,1
22,1690336,1717378,1,74,1
22,1717378,1802719,0,74,1
24,0,6192,0,83,0
-9999999,0,163760,0,48,0
26,-9999999,6230,1,45,0
26,6230,333560,1,45,1
26,333560,570074,1,40,1
26,570074,570141,1,51,1
26,570141,773309,1,48,1
26,773309,1015427,1,-9999999,1
26,-9999999,1338412,0,39,1
26,1338412,1717378,1,39,1
26,1717378,1802719,0,39,1
23,0,321117,0,-9999999,0
23,321117,333561,1,47,0
23,333561,1338415,0,47,1
23,1338415,1690127,0,47,1
28,0,1338416,0,37,0
28,1338416,1717382,1,33,0
28,1717382,1965726,0,33,1
27,0,851476,0,14,0
34,0,57494,1,9,0
34,57494,142199,1,14,1
34,142199,223478,0,21,1
29,0,351463,0,22,0
-9999999,0,363504,0,-9999999,0
31,0,8727,0,8,0
32,0,365804,0,8,0
33,0,282433,0,9,0
-9999999,0,46126,1,24,0
35,46126,223479,0,24,1
36,0,375989,0,28,0
36,375989,-9999999,0,43,0
36,377384,380198,0,28,0
36,380198,-9999999,-9999999,43,
36,392055,844177,0,46,1
36,844177,1826881,0,46,1
36,1826881,1840022,0,46,1
37,0,118887,0,7,0
38,0,476318,0,29,0
39,0,1413388,0,60,0
40,0,6192,0,67,0
42,0,163197,-9999999,15,0
41,0,1338416,0,-9999999,0
41,1338416,1717382,1,21,0
41,1717382,1802528,0,21,1
43,0,327,0,15,0
44,0,327,0,15,0
45,0,19235,0,160,
46,0,2931,1,-9999999,0
46,2931,3186,1,54,1
46,3186,32222,1,-9999999,1
46,32222,35088,1,59,1
-9999999,35088,36867,1,60,1
46,36867,85445,0,62,
46,85445,105660,-9999999,62,1
46,105660,114576,0,62,1
47,0,2931,1,51,0
47,2931,3186,1,54,1
47,3186,32222,1,-9999999,1
47,32222,35088,1,59,1
47,35088,36867,1,60,1
47,-9999999,85445,0,62,
47,85445,105660,0,62,1
47,-9999999,113333,-9999999,-9999999,1
47,113333,276573,-9999999,62,1
48,0,2931,1,51,0
48,2931,-9999999,1,54,1
48,3186,32222,-9999999,-9999999,1
-9999999,32222,35088,1,59,1
48,-9999999,36867,1,60,1
48,36867,85445,0,62,1
48,85445,105660,0,62,1
48,105660,114576,-9999999,62,1
49,0,2931,1,51,0
49,2931,3186,1,54,1
