input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class
47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8
0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,
0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,1
0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4
0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,
100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,
0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,
0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0
13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,5
57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,0
74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,9
48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,
100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,5
91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,9
0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,7
35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3
50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3
99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,9
24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,
0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2
12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,5
0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,
10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,
73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,
54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,
11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4
36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,0
46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4
61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,
100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,1
32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8
40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5
0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,7
27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,0
0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,9
30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3
29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,5
77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4
64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,9
9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2
0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,
30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,5
60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,6
0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3
5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3
100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,6
47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3
29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,
1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5
63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4
11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3
51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,1
56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,0
0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,1
17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4
41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,5
20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3
12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2
18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,0
97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,6
57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8
30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,5
12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0
0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3
0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,7
100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8
37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,
100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,
94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,
0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8
80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,9
35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,
34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,
0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,1
90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,9
0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,7
38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,0
72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,6
26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3
8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3
31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2
46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,
41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,
32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,
16,90,9,61,50,35,23,0,5,35,0,81,48,97,100,100,5
21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,
0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,
47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0
38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0
95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9
18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5
39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,
22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4
3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7
0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,
19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,
0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1
40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9
100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6
33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,
14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0
20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3
9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,
42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8
4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3
22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0
27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0
43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,
0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4
73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6
15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0
85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,
0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9
42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4
7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5
100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,
44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2
37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,
100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,
45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0
13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,
49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0
16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4
22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,
52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,
96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,
29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2
14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5
53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,
68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,
100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6
100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0
84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6
100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6
0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1
67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4
73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0
28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0
86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6
40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2
100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,
30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5
2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3
0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1
19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4
3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2
47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,
0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1
0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1
65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,
88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,
13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,
0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8
72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4
0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7
37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3
0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,
0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9
2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7
13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4
21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0
24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,
45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,
54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8
46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,
84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,
26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5
39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1
14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,
0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1
0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1
0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1
88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9
30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4
24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5
0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7
0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7
21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7
31,95,5,61,0,23,32,0,77,18,100,51,82,85,37,100,
19,73,54,91,100,100,99,78,86,52,78,26,43,8,0,0,3
98,100,52,77,18,52,0,25,25,0,100,5,97,29,23,22,6
79,74,21,67,15,92,71,100,100,75,73,45,36,18,0,0,9
100,100,59,79,26,54,2,28,1,0,58,0,58,21,0,19,6
19,86,35,72,95,94,0,100,60,78,100,52,67,26,26,0,
16,59,0,31,31,0,78,15,100,55,87,98,40,100,6,67,0
83,86,44,100,0,74,58,67,100,94,89,63,77,31,75,0,9
0,97,43,100,58,62,41,17,26,0,8,36,54,34,100,33,7
0,70,63,80,90,100,100,89,100,67,92,44,84,22,71,0,1
30,100,4,67,0,24,30,0,66,11,95,41,100,82,64,93,0
