speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
1,1,1,1.860936,-0.207383,0.261557,-0.214562,-0.171253,-0.118167,-0.277557,0.025668,0.126701,-0.306756,-0.213076,0.088728
1,1,2,1.891651,-0.193249,0.235363,-0.249118,-0.11289,-0.112238,-0.311997,-0.027122,0.171457,-0.289431,-0.247722,0.093011
1,1,3,1.939205,-0.239664,0.258561,-0.291458,-0.041053,-0.102034,-0.3833,0.019013,0.16951,-0.314894,-0.227908,0.074638
1,1,4,1.717517,-0.218572,0.217119,-0.228186,-0.018608,-0.137624,-0.403318,-0.009643,0.164607,-0.323267,-0.210105,0.098098
1,1,5,1.741191,-0.279891,0.196583,-0.236377,-0.032012,-0.090612,-0.363134,-0.012571,0.124298,-0.351171,-0.216545,0.113899
1,1,6,1.684695,-0.311977,0.195453,-0.23197,-0.06867,-0.003822,-0.34194,-0.008826,0.085097,-0.364329,-0.204794,0.101838
1,1,7,1.637373,-0.336227,0.152766,-0.223842,-0.026278,-0.009157,-0.363866,-0.003117,0.055479,-0.358107,-0.181643,0.082056
1,1,8,1.643283,-0.349773,0.131553,-0.154519,-0.035292,0.023719,-0.381399,-0.021189,0.020397,-0.340491,-0.156417,0.080884
1,1,9,1.60703,-0.382745,0.179038,-0.115949,-0.060406,0.0578,-0.364642,-0.06923,-0.019788,-0.355996,-0.115129,0.131928
1,1,10,1.617907,-0.527367,0.179878,-0.083292,0.031747,0.081424,-0.418227,-0.081175,-0.022385,-0.33766,-0.103184,0.102266
1,1,11,1.51035,-0.548025,0.13193,-0.028036,0.104782,0.092027,-0.416792,-0.120635,-0.056442,-0.30885,-0.099587,0.103529
1,1,12,1.371225,-0.470988,0.043163,0.019166,0.165104,0.09589,-0.416692,-0.159574,-0.078847,-0.326813,-0.073882,0.141055
1,1,13,1.299045,-0.495095,0.029375,0.026418,0.218288,0.07575,-0.374873,-0.191542,-0.103774,-0.322266,-0.066122,0.130722
1,1,14,1.221498,-0.50008,-0.002802,0.095565,0.226836,0.055463,-0.374477,-0.233165,-0.064838,-0.296219,-0.075885,0.091973
1,1,15,1.181849,-0.496439,-0.075193,0.167288,0.294219,0.009977,-0.4003,-0.233576,-0.067197,-0.236504,-0.096844,0.010373
1,1,16,1.16163,-0.481933,-0.052291,0.156674,0.361226,-0.029372,-0.439398,-0.153779,-0.144769,-0.214368,-0.068804,-0.041047
1,1,17,1.19499,-0.510964,0.065827,0.175791,0.353618,-0.066702,-0.483034,-0.06115,-0.196565,-0.220477,-0.02792,-0.085436
1,1,18,1.264847,-0.564878,0.162907,0.186745,0.35686,-0.103597,-0.477584,-0.036123,-0.218547,-0.204974,-0.019119,-0.136857
1,1,19,1.250698,-0.612291,0.205701,0.211003,0.369712,-0.135327,-0.511918,-0.008747,-0.203637,-0.212982,-0.02357,-0.170498
1,1,20,1.261441,-0.63835,0.217443,0.263384,0.391115,-0.176897,-0.510697,0.020526,-0.217709,-0.219071,-0.033314,-0.175986
,2,1,1.303905,0.067256,0.59772,-0.271474,-0.236808,-0.411125,-0.014826,0.113175,-0.05823,-0.173138,0.093058,0.099247
1,2,2,1.28828,0.018672,0.631579,-0.355112,-0.119216,-0.434425,-0.078036,0.178121,-0.10643,-0.18191,0.093031,0.099183
1,2,3,1.332021,-0.058744,0.601928,-0.347913,-0.053463,-0.421753,-0.028479,0.145073,-0.159488,-0.127751,0.019092,0.113546
1,2,4,1.43655,-0.206565,0.641775,-0.391073,-0.103646,-0.227374,-0.070016,0.138611,-0.125229,-0.182744,-0.021516,0.065927
1,2,5,1.510069,-0.30888,0.614297,-0.283639,-0.178763,-0.267168,-0.03463,0.160095,-0.098749,-0.220531,-0.061329,0.09364
1,2,6,1.492324,-0.413803,0.583179,-0.197519,-0.242376,-0.23451,-0.026315,0.178486,-0.12212,-0.256385,-0.038403,0.06447
1,2,7,1.731416,-0.615714,0.624905,-0.241347,-0.158116,-0.18676,-0.01546,0.09242,-0.203755,-0.1862,-0.100484,0.045003
1,2,8,1.655716,-0.489726,0.366389,-0.183851,-0.018003,-0.252819,0.069039,0.01874,-0.180031,-0.13658,-0.24575,0.052947
1,2,9,1.560145,-0.309991,0.107469,0.015034,-0.04191,-0.217401,0.067056,0.00926,-0.163025,-0.229586,-0.177976,0.038727
1,2,10,1.981364,-0.630689,0.261975,-0.046982,0.076403,-0.257617,-0.015961,0.017001,-0.232117,-0.217084,-0.192819,0.089435
1,2,11,1.64063,-0.471932,0.091516,0.061063,0.165614,-0.212629,-0.046723,-0.034998,-0.210997,-0.221234,-0.175446,0.072476
1,2,12,1.591455,-0.471778,0.125782,0.048809,0.250247,-0.188473,-0.121802,0.001121,-0.280562,-0.177655,-0.1194,0.011129
1,2,13,1.582411,-0.507225,0.278858,-0.058031,0.28728,-0.155876,-0.104452,-0.085458,-0.320138,-0.125466,-0.101151,0.049713
1,2,14,1.541301,-0.530376,0.363522,-0.087405,0.251401,-0.116625,-0.04708,-0.164929,-0.350866,-0.086459,-0.096591,0.082467
1,2,15,1.592347,-0.596831,0.39001,-0.012749,0.198339,-0.130853,0.035449,-0.209978,-0.387018,-0.056789,-0.094819,0.086401
1,2,16,1.674087,-0.659717,0.38017,0.048824,0.221404,-0.180924,0.021967,-0.235745,-0.321056,-0.098248,-0.162255,0.202347
1,2,17,1.681482,-0.614351,0.381238,0.043964,0.279883,-0.193816,-0.012821,-0.211565,-0.302557,-0.136598,-0.173016,0.248909
1,2,18,1.647909,-0.658696,0.511363,-0.02978,0.314603,-0.15943,-0.057186,-0.127571,-0.380802,-0.091613,-0.143742,0.154534
1,2,19,1.570202,-0.665777,0.478356,0.003514,0.288,-0.130158,-0.056077,-0.119485,-0.359916,-0.09191,-0.135773,0.076777
1,2,20,1.61242,-0.60699,0.416774,0.050611,0.24054,-0.08176,-0.047219,-0.173372,-0.269674,-0.118128,-0.176121,0.075934
1,2,21,1.589158,-0.526371,0.437124,-0.069075,0.280104,-0.006222,-0.121158,-0.31031,-0.14869,-0.07524,-0.245672,0.131027
1,2,22,1.519606,-0.524418,0.443297,0.032485,0.323836,-0.0698,-0.170755,-0.391098,-0.098999,-0.029453,-0.198052,0.127282
1,2,23,1.452399,-0.623031,0.527393,0.222107,0.268061,-0.120266,-0.179147,-0.396988,-0.0636,-0.04565,-0.18457,0.102709
1,2,24,1.370862,-0.621346,0.600771,0.283197,0.250333,-0.180777,-0.191649,-0.353358,-0.044004,-0.105327,-0.193044,0.119152
1,2,25,1.307289,-0.600573,0.620979,0.385506,0.210833,-0.251575,-0.228647,-0.305328,-0.014519,-0.167528,-0.175811,0.088565
1,2,26,1.334578,-0.542157,0.558104,0.470417,0.229124,-0.263825,-0.251754,-0.331181,-0.007968,-0.188285,-0.13861,0.054478
1,3,1,1.462484,0.174066,0.505133,-0.374302,-0.362125,-0.400335,-0.137429,-0.00083,0.053888,-0.23763,0.120636,0.193254
1,3,2,1.309815,0.120183,0.503046,-0.327562,-0.356789,-0.445498,-0.060423,-0.007899,0.041605,-0.231087,0.121053,0.202386
1,3,3,1.418207,0.015721,0.589994,-0.310586,-0.477019,-0.367101,-0.120849,0.066952,-0.023859,-0.224317,0.175298,0.15667
1,3,4,1.585858,-0.148691,0.696888,-0.433672,-0.369871,-0.325267,-0.192924,0.12444,-0.041498,-0.20858,0.129806,0.146745
1,3,5,1.651997,-0.17902,0.55765,-0.35244,-0.286346,-0.303667,-0.210818,0.104599,0.040954,-0.219516,0.022768,0.187322
1,3,6,1.486123,-0.091183,0.336031,-0.131567,-0.333492,-0.258345,-0.201333,0.043862,0.073675,-0.24716,-0.002587,0.190969
1,3,7,1.612464,-0.274628,0.390098,-0.212909,-0.22267,-0.244786,-0.217033,0.010084,0.049756,-0.24424,-0.040954,0.207889
1,3,8,1.723449,-0.390642,0.417834,-0.246235,-0.193408,-0.197558,-0.173189,0.070316,-0.015199,-0.344519,-0.048362,0.248583
1,3,9,1.908451,-0.580881,0.431328,-0.259862,-0.209985,-0.07967,-0.147213,0.134547,-0.051157,-0.451099,-0.077406,0.226654
1,3,10,2.12526,-0.826085,0.488411,-0.281048,-0.163277,-0.008763,-0.18626,0.124482,-0.054817,-0.464356,-0.132886,0.172822
1,3,11,1.990155,-0.935262,0.470629,-0.153762,-0.091035,0.035063,-0.258664,0.058584,-0.014116,-0.473753,-0.146977,0.197983
1,3,12,2.08031,-1.042286,0.525433,-0.104984,0.011769,0.078796,-0.371083,-0.013916,-0.020054,-0.478964,-0.093402,0.230359
1,3,13,1.66936,-0.679862,0.256937,0.069152,0.122822,0.099089,-0.408978,-0.108924,-0.046027,-0.432718,-0.059613,0.247765
1,3,14,1.882291,-0.885675,0.428198,0.002923,0.265651,0.115176,-0.406025,-0.163888,-0.123137,-0.360651,-0.031532,0.200109
1,3,15,1.626219,-0.70789,0.336811,0.044792,0.34695,0.06619,-0.332076,-0.116821,-0.226604,-0.362263,0.004972,0.161445
1,3,16,1.26019,-0.485673,0.234296,0.141639,0.30789,0.124684,-0.332177,-0.168295,-0.174656,-0.385416,-0.004726,0.184454
1,3,17,1.274111,-0.546423,0.296681,0.152304,0.31242,0.194313,-0.420622,-0.18505,-0.141055,-0.32044,0.02087,0.099264
1,3,18,1.4529,-0.704247,0.378652,0.242781,0.311237,0.192922,-0.452417,-0.18149,-0.116275,-0.295192,0.053308,0.06499
1,3,19,1.572425,-0.867819,0.452938,0.29608,0.312264,0.161462,-0.416084,-0.171377,-0.106756,-0.303018,0.042348,0.079769
1,3,20,1.565221,-0.811536,0.483607,0.264737,0.340265,0.173855,-0.421479,-0.181123,-0.093458,-0.289787,0.043696,0.066179
1,3,21,1.671099,-0.910977,0.587177,0.225236,0.370719,0.147173,-0.431996,-0.146687,-0.106379,-0.296911,0.065611,0.046339
1,3,22,1.633764,-0.935421,0.574273,0.269021,0.371818,0.119741,-0.396788,-0.122981,-0.152855,-0.268283,0.095911,-0.015915
1,4,1,1.160837,0.078806,0.237706,-0.010878,-0.393053,-0.744686,0.173073,-0.012922,-0.071948,0.028707,0.07482,0.146297
1,4,2,1.217979,-0.043693,0.378571,-0.055125,-0.399601,-0.756213,0.189754,0.014265,-0.099093,0.03897,0.049702,0.164537
1,4,3,1.234654,-0.107083,0.504189,-0.151549,-0.409837,-0.666554,0.176855,0.024257,-0.085188,0.005654,-0.007566,0.168465
