acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
0.265,-0.7814,-0.0076,-0.059,0.0325,-29.296,0
0.6722,-11.233,-0.2344,-0.1757,0.0208,0.1269,0
0.4399,-14.817,0.0722,-0.9105,0.1063,-24.367,0
,-0.8125,0.0888,0.1199,-0.4099,-29.336,0
0.4814,-0.9312,0.0359,,0.4379,24.922,0
0.4044,-0.8056,-0.0956,0.6925,-0.2179,25.75,0
0.632,-11.29,-0.2982,0.0548,-0.1896,0.4473,0
0.667,-13.503,-0.088,-0.8094,-0.7938,-14.348,0
0.2704,-0.8633,0.1293,-0.4173,-0.1904,-26.759,0
0.469,-10.74,0.0219,0.0388,11.491,16.982,0
0.2985,-0.7172,-0.0693,0.2326,0.4321,21.009,0
0.6364,-10.452,-0.24,0.1163,-0.1033,10.822,0
0.5683,-12.486,-0.131,-0.4556,-0.5281,-12.407,0
0.2911,-0.7748,0.0163,-0.2345,-0.0148,-25.884,0
0.4477,-11.574,-0.0172,-0.1081,0.4016,0.67,0
0.2424,-0.7421,-0.0549,0.5714,-0.0506,21.356,0
0.6028,-10.966,-0.3046,0.1674,-0.5065,10.156,0
0.4852,-13.397,-0.0763,-0.8579,0.0096,-14.015,0
0.3017,-0.8366,0.0718,-0.2701,-0.4678,-27.01,0
0.4082,-10.859,-0.0375,0.0848,-0.105,0.287,0
0.372,-0.819,-0.2379,0.3006,0.1531,26.873,0
0.6363,-0.7532,-0.2972,-0.0726,-0.1945,14.53,0
0.709,-11.893,-0.2303,-0.1418,-14.683,-12.643,0
0.3275,-0.7846,-0.0344,0.0436,-0.3678,-29.826,0
0.2957,-0.9224,-0.0462,0.1208,0.0853,-0.2949,0
0.5468,-12.653,-0.2362,0.1492,0.5586,35.731,0
0.5656,-0.8049,-0.1815,0.4349,-0.0852,14.384,0
0.7335,-13.042,-0.2887,-0.4351,0.0151,-11.675,0
0.2843,-0.9344,-0.0459,-0.3433,-0.1396,-31.056,0
0.2854,-0.9109,0.0746,0.079,0.0688,-15.5,0
0.5291,-12.39,-0.1573,0.3893,-0.2878,30.852,0
0.5319,-0.7638,-0.1285,0.3973,-0.0524,20.416,0
0.5509,-14.469,-0.1684,-0.159,0.5247,-0.2822,0
0.4053,-0.7735,-0.0511,-0.0841,-0.5589,-22.833,0
0.2938,-0.9424,0.0928,-0.5436,0.4212,-11.527,0
0.514,-10.203,-0.2959,0.7219,-0.1907,16.697,0
0.4652,-0.6219,-0.1181,0.5532,0.4083,16.534,0
0.5604,-12.123,-0.2765,-0.395,0.0046,0.5489,0
0.5762,-11.338,-0.0781,-0.2823,-10.751,-16.04,0
0.2365,-0.8592,0.1061,-0.353,0.3114,-22.969,0
0.4459,-11.958,0.0135,0.3472,0.3493,16.18,0
0.3306,-0.7377,-0.0852,0.5862,-0.3914,20.878,0
0.6213,-11.723,-0.2599,0.0188,-0.2731,0.7516,0
0.4872,-11.931,-0.0351,-0.5722,-0.5391,-14.604,0
0.2804,-0.8719,0.075,-0.3699,0.1381,-23.609,0
0.4056,-12.032,0.0102,-0.2242,0.4722,0.8533,0
0.3337,-0.6742,-0.0606,-0.6249,16.331,20.391,0
