white_piece0_strength,white_piece0_file,white_piece0_rank,black_piece0_strength,black_piece0_file,black_piece0_rank,class
0,1,8,0,0,8,w
0,2,8,0,0,8,w
0,4,8,-9999999,0,8,w
0,5,8,-9999999,0,8,w
0,6,8,-9999999,0,8,w
0,0,7,-9999999,0,8,w
0,1,7,-9999999,0,8,w
0,2,7,-9999999,0,8,w
0,3,7,-9999999,0,8,w
0,4,7,-9999999,0,8,w
0,5,7,-9999999,0,8,w
0,6,7,-9999999,0,8,w
0,0,6,-9999999,0,8,b
0,1,6,0,0,8,w
0,2,6,0,0,8,w
0,3,6,0,0,8,w
0,4,6,0,0,8,w
0,5,6,0,0,8,w
0,6,6,0,0,8,w
0,0,5,0,0,8,w
0,1,5,0,0,8,b
0,2,5,0,0,8,w
0,3,5,0,0,8,w
0,4,5,0,0,8,w
0,5,5,0,0,8,w
0,6,5,0,0,8,w
0,0,4,0,0,8,b
0,1,4,0,0,8,w
0,2,4,0,0,8,b
0,3,4,-9999999,0,8,w
0,4,4,-9999999,0,8,w
0,5,4,-9999999,0,8,w
0,6,4,0,0,8,b
0,0,3,0,0,8,w
0,1,3,0,0,8,b
0,2,3,0,0,8,w
0,3,3,0,0,8,b
0,4,3,0,0,8,w
0,5,3,0,0,8,b
0,6,3,0,0,8,w
0,0,2,0,0,8,b
0,1,2,0,0,8,w
0,2,2,0,0,8,b
0,3,2,0,0,8,w
0,4,2,0,0,8,b
0,5,2,0,0,8,w
0,6,2,0,0,8,b
0,0,1,0,0,8,w
0,1,1,0,0,8,b
0,2,1,0,0,8,w
0,3,1,0,0,8,b
0,4,1,0,0,8,w
0,5,1,0,0,8,b
0,6,1,0,0,8,w
0,0,0,0,0,8,b
0,1,0,0,0,8,w
0,2,0,0,0,8,b
0,4,0,0,0,8,b
0,5,0,0,0,8,w
0,6,0,0,0,8,b
0,0,8,0,1,8,w
0,2,8,0,1,8,w
0,4,8,0,1,8,w
0,5,8,0,1,8,w
0,6,8,0,1,8,w
0,0,7,0,1,8,b
0,1,7,0,1,8,w
0,2,7,0,1,8,w
0,3,7,0,1,8,w
0,4,7,0,1,8,w
0,5,7,0,1,8,w
0,6,7,0,1,8,w
0,0,6,0,1,8,w
0,1,6,0,1,8,b
0,2,6,0,1,8,w
0,3,6,0,1,8,w
0,4,6,0,1,8,w
0,5,6,0,1,8,w
0,6,6,0,1,8,w
0,0,5,0,1,8,b
0,1,5,0,1,8,w
0,2,5,0,1,8,b
0,3,5,0,1,8,w
0,4,5,0,1,8,w
0,5,5,0,1,8,w
0,6,5,0,1,8,b
0,0,4,0,1,8,w
0,1,4,0,1,8,b
0,2,4,0,1,8,w
0,3,4,0,1,8,b
0,4,4,0,1,8,w
0,5,4,0,1,8,b
0,6,4,0,1,8,w
0,0,3,0,1,8,b
0,1,3,0,1,8,w
0,2,3,0,1,8,b
0,3,3,0,1,8,w
0,4,3,0,1,8,b
0,5,3,0,1,8,w
0,6,3,0,1,8,b
0,0,2,0,1,8,w
0,1,2,0,1,8,b
0,2,2,0,1,8,w
0,3,2,0,1,8,b
0,4,2,0,1,8,w
0,5,2,0,1,8,b
0,6,2,0,1,8,w
0,0,1,0,1,8,b
0,1,1,0,1,8,w
0,2,1,0,1,8,b
0,3,1,0,1,8,w
0,4,1,0,1,8,b
0,5,1,0,1,8,w
0,6,1,0,1,8,b
0,0,0,0,1,8,w
0,1,0,0,1,8,b
0,2,0,0,1,8,w
0,4,0,0,1,8,w
0,5,0,0,1,8,b
0,6,0,0,1,8,w
0,0,8,0,2,8,b
0,1,8,0,2,8,w
0,4,8,0,2,8,w
0,5,8,0,2,8,w
0,6,8,0,2,8,w
0,0,7,0,2,8,w
0,1,7,0,2,8,b
0,2,7,0,2,8,w
0,3,7,0,2,8,w
0,4,7,0,2,8,w
0,5,7,0,2,8,w
0,6,7,0,2,8,w
0,0,6,0,2,8,b
0,1,6,0,2,8,w
0,2,6,0,2,8,b
0,3,6,0,2,8,w
0,4,6,0,2,8,w
0,5,6,0,2,8,w
0,-9999999,6,0,2,8,b
0,0,5,0,2,8,w
0,1,5,0,2,8,b
0,2,5,0,2,8,w
0,3,5,0,2,8,b
0,4,5,0,2,8,w
0,5,5,0,2,8,b
0,-9999999,5,0,2,8,w
0,0,4,0,2,8,b
0,1,4,0,2,8,w
0,2,4,0,2,8,b
0,3,4,0,2,8,w
0,4,4,0,2,8,b
0,5,4,0,2,8,w
0,-9999999,4,0,2,8,b
0,0,3,0,2,8,w
0,1,3,0,2,8,b
0,2,3,0,2,8,w
0,3,3,0,2,8,b
0,4,3,0,2,8,w
0,5,3,0,2,8,b
0,6,3,0,2,8,w
0,0,2,0,2,8,b
0,1,2,0,2,8,w
0,2,2,0,2,8,b
0,3,2,0,2,8,w
0,4,2,0,2,8,b
0,5,2,0,2,8,w
0,6,2,0,2,8,b
0,0,1,0,2,8,w
0,1,1,0,2,8,b
0,2,1,0,2,8,w
0,3,1,0,2,8,b
0,4,1,0,2,8,w
0,5,1,0,2,8,b
0,6,1,0,2,8,w
0,0,0,0,2,8,b
0,1,0,0,2,8,w
0,2,0,0,2,8,b
0,4,0,0,2,8,b
0,5,0,0,2,8,w
0,6,0,0,2,8,b
0,0,8,0,4,8,w
0,1,8,0,4,8,w
0,2,8,0,4,8,w
0,5,8,0,4,8,w
0,6,8,0,4,8,b
0,0,7,0,4,8,w
0,1,7,0,4,8,w
0,2,7,0,4,8,w
0,3,7,0,4,8,w
0,4,7,0,4,8,w
0,5,7,0,4,8,b
0,6,7,0,4,8,w
0,0,6,0,4,8,b
0,1,6,0,4,8,w
0,2,6,0,4,8,w
0,3,6,0,4,8,w
0,4,6,0,4,8,b
0,5,6,0,4,8,w
0,6,6,0,4,8,b
0,0,5,0,4,8,w
0,1,5,0,4,8,b
0,2,5,0,4,8,w
0,3,5,0,4,8,b
0,4,5,0,4,8,w
0,5,5,0,4,8,b
0,6,5,0,4,8,w
0,0,4,0,4,8,b
0,1,4,0,4,8,w
0,2,4,0,4,8,b
0,3,4,0,4,8,w
0,4,4,0,4,8,b
0,5,4,0,4,8,w
0,6,4,0,4,8,b
0,0,3,0,4,8,w
0,1,3,0,4,8,b
0,2,3,0,4,8,w
0,3,3,0,4,8,b
0,4,3,0,4,8,w
0,5,3,0,4,8,b
0,6,3,0,4,8,w
0,0,2,0,4,8,b
0,1,2,0,4,8,w
0,2,2,0,4,8,b
0,3,2,0,4,8,w
0,4,2,0,4,8,b
0,5,2,0,4,8,w
0,6,2,0,4,8,b
0,0,1,0,4,8,w
0,1,1,0,4,8,b
0,2,1,0,4,8,w
0,3,1,0,4,8,b
0,4,1,0,4,8,w
0,5,1,0,4,8,b
0,6,1,0,4,8,w
0,0,0,0,4,8,b
0,1,0,0,4,8,w
0,2,0,0,4,8,b
0,4,0,0,4,8,b
0,5,0,0,4,8,w
0,6,0,0,4,8,b
0,0,8,0,5,8,w
0,1,8,0,5,8,w
0,2,8,0,5,8,w
0,4,8,0,5,8,w
0,6,8,0,5,8,w
0,0,7,0,5,8,w
0,1,7,0,5,8,w
0,2,7,0,5,8,w
0,3,7,0,5,8,w
0,4,7,0,5,8,w
0,5,7,0,5,8,w
0,6,7,0,5,8,b
0,0,6,0,5,8,w
0,1,6,0,5,8,w
0,2,6,0,5,8,w
0,3,6,0,5,8,w
0,4,6,0,5,8,w
0,5,6,0,5,8,b
0,6,6,0,5,8,w
0,0,5,0,5,8,b
0,1,5,0,5,8,w
0,2,5,0,5,8,w
0,3,5,0,5,8,w
0,4,5,0,5,8,b
0,5,5,0,5,8,w
0,6,5,0,5,8,b
0,0,4,0,5,8,w
0,1,4,0,5,8,b
0,2,4,0,5,8,w
0,3,4,0,5,8,b
0,4,4,0,5,8,w
0,5,4,0,5,8,b
0,-9999999,4,0,5,8,w
0,0,3,0,5,8,b
0,1,3,0,5,8,w
0,2,3,0,5,8,b
0,3,3,0,5,8,w
0,4,3,0,5,8,b
0,5,3,0,5,8,w
0,6,3,0,5,8,b
0,0,2,0,5,8,w
0,1,2,0,5,8,b
0,2,2,0,5,8,w
0,3,2,0,5,8,b
0,4,2,0,5,8,w
0,5,2,0,5,8,b
0,-9999999,2,0,5,8,w
0,0,1,0,5,8,b
0,1,1,0,5,8,w
0,2,1,0,5,8,b
0,3,1,0,5,8,w
0,4,1,0,5,8,b
0,5,1,0,5,8,w
0,6,1,0,5,8,b
0,0,0,0,5,8,w
0,1,0,0,5,8,b
0,2,0,0,5,8,w
0,4,0,0,5,8,w
0,5,0,0,5,8,b
0,6,0,0,5,8,w
0,0,8,0,6,8,w
0,1,8,0,6,8,w
0,2,8,0,6,8,w
0,4,8,0,6,8,w
0,5,8,0,6,8,w
0,0,7,0,6,8,w
0,1,7,0,6,8,w
0,2,7,0,6,8,w
0,3,7,0,6,8,w
0,4,7,0,6,8,w
0,5,7,0,6,8,w
0,6,7,0,6,8,w
0,0,6,0,6,8,w
0,1,6,0,6,8,w
0,2,6,0,6,8,w
0,3,6,0,6,8,w
0,4,6,0,6,8,w
0,5,6,0,6,8,w
0,6,6,0,6,8,b
0,0,5,0,6,8,w
0,1,5,0,6,8,w
0,2,5,0,6,8,w
0,3,5,0,6,8,w
0,4,5,0,6,8,w
0,5,5,0,6,8,b
0,6,5,0,6,8,w
0,0,4,0,6,8,b
0,1,4,0,6,8,w
0,2,4,0,6,8,w
0,3,4,0,6,8,w
0,4,4,0,6,8,b
0,5,4,0,6,8,w
0,6,4,0,6,8,b
0,0,3,0,6,8,w
0,1,3,0,6,8,b
0,2,3,0,6,8,w
0,3,3,0,6,8,b
0,4,3,0,6,8,w
0,5,3,0,6,8,b
0,6,3,0,6,8,w
0,0,2,0,6,8,b
0,1,2,0,6,8,w
0,2,2,0,6,8,b
0,3,2,0,6,8,w
0,4,2,0,6,8,b
0,5,2,0,6,8,w
0,6,2,0,6,8,b
0,0,1,0,6,8,w
0,1,1,0,6,8,b
0,2,1,0,6,8,w
0,3,1,0,6,8,b
0,4,1,0,6,8,w
0,5,1,0,6,8,b
0,6,1,0,6,8,w
0,0,0,0,6,8,b
0,1,0,0,6,8,w
0,2,0,0,6,8,b
0,4,0,0,6,8,b
0,5,0,0,6,8,w
0,6,0,0,6,8,b
0,0,8,0,0,7,w
0,1,8,0,0,7,w
0,2,8,0,0,7,w
0,4,8,0,0,7,w
0,5,8,0,0,7,w
0,6,8,0,0,7,w
0,1,7,0,0,7,w
0,2,7,0,0,7,w
0,3,7,0,0,7,w
0,4,7,0,0,7,w
0,5,7,0,0,7,w
0,6,7,0,0,7,w
0,0,6,0,0,7,w
0,1,6,0,0,7,b
0,2,6,0,0,7,w
-9999999,3,6,0,0,7,w
