Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OO,4492,GJT,SLC,6,785,56,0
EV,5364,MGM,MEM,6,375,76,0
FL,1016,BOS,MCO,7,703,205,0
F9,231,BNA,DEN,5,880,173,0
AS,662,SEA,DFW,5,730,230,0
WN,3138,SAN,SAT,7,900,155,1
WN,793,JAN,HOU,3,810,80,1
,3237,PHL,MDW,6,1035,145,0
WN,,LAS,SNA,3,1055,65,1
F9,843,MDW,DEN,3,940,157,0
,973,DEN,BWI,4,710,200,1
WN,,OMA,DEN,4,1155,100,1
WN,537,,SMF,2,1145,80,1
UA,418,,DEN,2,492,-9999999,1
AA,1845,MIA,SJU,3,720,145,1
,6407,TUL,LAX,4,445,204,0
OO,6893,SFO,PSP,4,559,83,0
WN,193,MCI,PHX,6,925,185,0
9E,4337,,SGF,7,1170,116,0
UA,467,DEN,SJC,,1292,164,0
US,1972,CLT,EWR,1,914,107,1
EV,5237,BOS,DCA,3,875,109,0
EV,5572,CHS,ATL,1,1085,84,1
OO,6247,FAT,LAX,7,721,75,1
WN,380,MDW,JAN,2,950,125,1
MQ,4318,ORD,BWI,5,845,115,1
CO,214,DFW,IAH,3,340,59,1
YV,2833,TUS,PHX,1,405,47,0
WN,1675,SLC,PDX,7,1115,125,1
AA,1267,MIA,SJU,,-9999999,150,1
DL,1040,COS,ATL,4,400,170,1
DL,1531,DCA,MEM,6,370,149,1
MQ,3905,DAY,ORD,3,-9999999,-9999999,0
WN,313,BWI,CLE,7,-9999999,75,0
OO,6761,IAD,MSY,4,737,170,0
WN,1112,SEA,SLC,7,1095,110,1
OH,6643,BOS,DCA,4,395,114,1
US,1014,FLL,CLT,,785,118,0
XE,2356,BHM,IAH,3,900,112,1
UA,,ORD,LGA,2,480,132,0
,953,FLL,BWI,7,631,145,0
DL,2003,OMA,MSP,5,436,74,0
YV,7304,JAX,IAD,6,888,107,0
EV,5185,SAV,ATL,6,692,73,1
OO,6297,BIL,,1,1167,92,0
OO,6239,BHM,DEN,7,450,190,1
WN,1162,AUS,HOU,3,610,50,0
WN,3920,OKC,DEN,4,755,100,1
OO,6480,YUM,LAX,5,457,80,0
OO,6820,RDD,SFO,5,-9999999,78,0
WN,1120,TUS,LAX,1,880,90,0
EV,5177,ATL,CHA,3,810,48,0
AA,1921,EWR,MIA,4,360,185,0
XE,3012,IAH,IAD,1,1150,166,1
UA,354,SAN,DEN,3,908,144,0
UA,604,,IAH,7,1260,167,0
