Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
Buick Skylark 320,15.0,8,350.0,165.0,3693.0,11.5,70,US
Plymouth Satellite,18.0,8,318.0,150.0,3436.0,11.0,70,US
AMC Rebel SST,16.0,8,304.0,150.0,3433.0,12.0,70,US
Ford Torino,17.0,8,302.0,140.0,3449.0,10.5,70,US
Ford Galaxie 500,15.0,8,429.0,198.0,4341.0,10.0,70,US
Chevrolet Impala,14.0,8,454.0,220.0,4354.0,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.0,8.5,70,US
Citroen DS-21 Pallas,0.0,4,133.0,115.0,3090.0,17.5,70,Europe
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165.0,4142.0,11.5,70,US
Ford Torino (sw),0.0,8,351.0,153.0,4034.0,11.0,70,US
Plymouth Satellite (sw),0.0,8,383.0,175.0,4166.0,10.5,70,US
AMC Rebel SST (sw),0.0,8,360.0,175.0,3850.0,11.0,70,US
Dodge Challenger SE,15.0,8,383.0,170.0,3563.0,10.0,70,US
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US
Ford Mustang Boss 302,0.0,8,302.0,140.0,3353.0,8.0,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US
Buick Estate Wagon (sw),14.0,8,455.0,225.0,3086.0,10.0,70,US
Toyota Corolla Mark ii,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
Plymouth Duster,22.0,6,198.0,95.0,2833.0,15.5,70,US
AMC Hornet,18.0,6,199.0,97.0,2774.0,15.5,70,US
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,46.0,1835.0,20.5,70,Europe
Peugeot 504,25.0,4,110.0,87.0,2672.0,17.5,70,Europe
Audi 100 LS,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
Saab 99e,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
BMW 2002,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
AMC Gremlin,21.0,6,199.0,90.0,2648.0,15.0,70,US
Ford F250,10.0,8,360.0,215.0,4615.0,14.0,70,US
Chevy C20,10.0,8,307.0,200.0,4376.0,15.0,70,US
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US
Hi 1200D,9.0,8,304.0,193.0,4732.0,18.5,70,US
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,71,Japan
Chevrolet Vega 2300,28.0,4,140.0,90.0,2264.0,15.5,71,US
Toyota Corolla,25.0,4,113.0,95.0,2228.0,14.0,71,Japan
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US
Volkswagen Super Beetle 117,0.0,4,97.0,48.0,1978.0,20.0,71,Europe
AMC Gremlin,19.0,6,232.0,100.0,2634.0,13.0,71,US
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.0,15.5,71,US
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0,3329.0,15.5,71,US
Ford Torino 500,19.0,6,250.0,88.0,3302.0,15.5,71,US
AMC Matador,18.0,6,232.0,100.0,3288.0,15.5,71,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US
Ford Galaxie 500,14.0,8,351.0,153.0,4154.0,13.5,71,US
Plymouth Fury iii,14.0,8,318.0,150.0,4096.0,13.0,71,US
Dodge Monaco (sw),12.0,8,383.0,180.0,4955.0,11.5,71,US
Ford Country Squire (sw),13.0,8,400.0,170.0,4746.0,12.0,71,US
Pontiac Safari (sw),13.0,8,400.0,175.0,5140.0,12.0,71,US
AMC Hornet Sportabout (sw),18.0,6,258.0,110.0,2962.0,13.5,71,US
Chevrolet Vega (sw),22.0,4,140.0,72.0,2408.0,19.0,71,US
Pontiac Firebird,19.0,6,250.0,100.0,3282.0,15.0,71,US
Ford Mustang,18.0,6,250.0,88.0,3139.0,14.5,71,US
Mercury Capri 2000,23.0,4,122.0,86.0,2220.0,14.0,71,US
Opel 1900,28.0,4,116.0,90.0,2123.0,14.0,71,Europe
Peugeot 304,30.0,4,79.0,70.0,2074.0,19.5,71,Europe
Fiat 124B,30.0,4,88.0,76.0,2065.0,14.5,71,Europe
Toyota Corolla 1200,31.0,4,71.0,65.0,1773.0,19.0,71,Japan
Datsun 1200,35.0,4,72.0,69.0,1613.0,18.0,71,Japan
Volkswagen Model 111,27.0,4,97.0,60.0,1834.0,19.0,71,Europe
Plymouth Cricket,26.0,4,91.0,70.0,1955.0,20.5,71,US
Toyota Corolla Hardtop,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
Dodge Colt Hardtop,25.0,4,97.5,80.0,2126.0,17.0,72,US
Volkswagen Type 3,23.0,4,97.0,54.0,2254.0,23.5,72,Europe
Chevrolet Vega,20.0,4,140.0,90.0,2408.0,19.5,72,US
Ford Pinto Runabout,21.0,4,122.0,86.0,2226.0,16.5,72,US
Chevrolet Impala,13.0,8,350.0,165.0,4274.0,12.0,72,US
Pontiac Catalina,14.0,8,400.0,175.0,4385.0,12.0,72,US
Plymouth Fury III,15.0,8,318.0,150.0,4135.0,13.5,72,US
Ford Galaxie 500,14.0,8,351.0,153.0,4129.0,13.0,72,US
AMC Ambassador SST,17.0,8,304.0,150.0,3672.0,11.5,72,US
Mercury Marquis,11.0,8,429.0,208.0,4633.0,11.0,72,US
Buick LeSabre Custom,13.0,8,350.0,155.0,4502.0,13.5,72,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0,4456.0,13.5,72,US
Chrysler Newport Royal,13.0,8,400.0,190.0,4422.0,12.5,72,US
