name,addr,city,phone,type,class
arnie morton's of chicago,435 s. la cienega blv.,los angeles,?,american,?
arnie morton's of chicago,435 s. la cienega blvd.,?,?,?,?
art's delicatessen,12224 ventura blvd.,studio city,?,american,?
art's deli,12224 ventura blvd.,?,?,delis,1
hotel bel-air,701 stone canyon rd.,?,?,californian,2
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,2
cafe bizou,14016 ventura blvd.,sherman oaks,?,?,?
cafe bizou,14016 ventura blvd.,sherman oaks,?,?,?
campanile,624 s. la brea ave.,los angeles,?,?,4
campanile,624 s. la brea ave.,los angeles,?,californian,4
chinois on main,2709 main st.,?,310/392-9025,?,?
chinois on main,2709 main st.,?,310-392-9025,pacific new wave,5
citrus,6703 melrose ave.,?,?,?,?
citrus,6703 melrose ave.,?,213-857-0034,californian,?
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,?
fenix at the argyle,8358 sunset blvd.,?,?,?,?
granita,23725 w. malibu rd.,?,?,?,?
granita,23725 w. malibu rd.,?,?,?,?
grill on the alley,9560 dayton way,?,310/276-0615,american,?
grill  the,9560 dayton way,beverly hills,?,?,?
restaurant katsu,1972 n. hillhurst ave.,?,?,asian,10
katsu,1972 hillhurst ave.,?,?,?,?
l'orangerie,903 n. la cienega blvd.,?,?,french,?
l'orangerie,903 n. la cienega blvd.,?,?,french (classic),11
le chardonnay,8284 melrose ave.,los angeles,?,french,?
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,?,?
locanda veneta,3rd st.,?,310/274-1893,?,13
locanda veneta,8638 w. third st.,?,?,?,?
matsuhisa,129 n. la cienega blvd.,?,?,?,14
matsuhisa,129 n. la cienega blvd.,?,?,seafood,?
the palm,9001 santa monica blvd.,?,?,?,?
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,?,15
patina,5955 melrose ave.,?,?,californian,?
patina,5955 melrose ave.,los angeles,?,?,?
philippe's the original,1001 n. alameda st.,?,?,?,?
philippe the original,1001 n. alameda st.,chinatown,?,?,?
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,?,18
pinot bistro,12969 ventura blvd.,?,818-990-0500,?,?
rex il ristorante,617 s. olive st.,los angeles,?,?,?
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,19
spago,1114 horn ave.,los angeles,310/652-4025,californian,?
spago (los angeles),8795 sunset blvd.,?,?,californian,20
valentino,3115 pico blvd.,?,?,?,21
valentino,3115 pico blvd.,santa monica,?,?,21
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,?,?,?
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,?
21 club,21 w. 52nd st.,new york,?,american,?
21 club,21 w. 52nd st.,new york city,212-582-7200,?,23
aquavit,13 w. 54th st.,?,?,continental,24
aquavit,13 w. 54th st.,?,?,scandinavian,24
aureole,34 e. 61st st.,new york,?,american,?
aureole,34 e. 61st st.,new york city,?,?,?
cafe lalo,201 w. 83rd st.,?,?,coffee bar,?
cafe lalo,201 w. 83rd st.,new york city,?,coffeehouses,26
cafe des artistes,1 w. 67th st.,?,212/877-3500,continental,?
cafe des artistes,1 w. 67th st.,?,?,?,27
carmine's,2450 broadway  between 90th and 91st sts.,?,212/362-2200,?,28
carmine's,2450 broadway,new york city,?,?,?
carnegie deli,854 7th ave.  between 54th and 55th sts.,?,?,?,29
carnegie deli,854 seventh ave.,?,?,?,?
chanterelle,2 harrison st.  near hudson st.,new york,?,?,30
chanterelle,2 harrison st.,new york city,212-966-6960,?,30
daniel,20 e. 76th st.,?,212/288-0033,?,?
daniel,20 e. 76th st.,?,?,french (new),31
dawat,210 e. 58th st.,?,?,?,32
dawat,210 e. 58th st.,?,212-355-7555,indian,32
felidia,243 e. 58th st.,new york,?,?,33
felidia,243 e. 58th st.,?,212-758-1479,?,33
four seasons grill room,99 e. 52nd st.,?,?,american,?
four seasons,99 e. 52nd st.,?,212-754-9494,?,?
gotham bar & grill,12 e. 12th st.,new york,?,?,?
gotham bar & grill,12 e. 12th st.,new york city,?,american (new),?
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,?,?,?
gramercy tavern,42 e. 20th st.,?,212-477-0777,?,?
island spice,402 w. 44th st.,?,?,?,?
island spice,402 w. 44th st.,new york city,?,caribbean,?
jo jo,160 e. 64th st.,?,?,?,?
jo jo,160 e. 64th st.,?,?,french bistro,?
la caravelle,33 w. 55th st.,new york,212/586-4252,?,?
la caravelle,33 w. 55th st.,new york city,212-586-4252,?,?
la cote basque,60 w. 55th st.  between 5th and 6th ave.,?,212/688-6525,french,?
la cote basque,60 w. 55th st.,?,212-688-6525,?,?
le bernardin,155 w. 51st st.,new york,?,?,?
le bernardin,155 w. 51st st.,?,?,?,?
les celebrites,160 central park s,new york,?,?,42
les celebrites,155 w. 58th st.,?,212-484-5113,?,42
lespinasse,2 e. 55th st.,?,?,?,?
lespinasse (new york city),2 e. 55th st.,?,?,asian,?
lutece,249 e. 50th st.,?,212/752-2225,?,44
lutece,249 e. 50th st.,new york city,?,french (classic),44
manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,?,45
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood,45
march,405 e. 58th st.,new york,?,?,?
march,405 e. 58th st.,new york city,?,?,?
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,?,47
mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern,?
mi cocina,57 jane st.  off hudson st.,?,212/627-8273,?,48
mi cocina,57 jane st.,?,?,?,?
montrachet,239 w. broadway  between walker and white sts.,?,212/ 219-2777,french,?
montrachet,239 w. broadway,?,212-219-2777,french bistro,49
oceana,55 e. 54th st.,?,?,?,?
oceana,55 e. 54th st.,new york city,212-759-5941,seafood,?
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american,?
park avenue cafe (new york city),100 e. 63rd st.,?,?,?,?
petrossian,182 w. 58th st.,?,?,?,?
petrossian,182 w. 58th st.,new york city,212-245-2214,?,52
picholine,35 w. 64th st.,?,?,mediterranean,53
picholine,35 w. 64th st.,new york city,?,?,?
pisces,95 ave. a at 6th st.,new york,?,seafood,?
pisces,95 ave. a,?,212-260-6660,seafood,?
rainbow room,30 rockefeller plaza,?,?,?,?
rainbow room,30 rockefeller plaza,new york city,?,?,?
river cafe,1 water st. at the east river,?,?,american,?
river cafe,1 water st.,?,?,?,56
san domenico,240 central park s,new york,212/265-5959,?,57
san domenico,240 central park s.,?,212-265-5959,?,?
second avenue deli,156 2nd ave. at 10th st.,?,212/677-0606,?,58
second avenue deli,156 second ave.,?,?,delis,?
seryna,11 e. 53rd st.,?,?,?,?
seryna,11 e. 53rd st.,?,212-980-9393,?,59
shun lee west,43 w. 65th st.,?,?,?,60
shun lee palace,155 e. 55th st.,?,212-371-8844,?,60
sign of the dove,1110 3rd ave. at 65th st.,new york,?,?,61
sign of the dove,1110 third ave.,?,212-861-8080,?,?
smith & wollensky,201 e. 49th st.,?,?,american,?
smith & wollensky,797 third ave.,?,?,steakhouses,62
tavern on the green,in central park at 67th st.,?,?,?,?
tavern on the green,central park west,?,?,?,?
uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,?,mediterranean,64
uncle nick's,747 ninth ave.,new york city,?,?,?
union square cafe,21 e. 16th st.,new york,?,?,65
union square cafe,21 e. 16th st.,?,?,?,65
virgil's,152 w. 44th st.,new york,212/ 921-9494,?,?
virgil's real bbq,152 w. 44th st.,?,?,?,66
chin's,3200 las vegas blvd. s,?,?,?,67
chin's,3200 las vegas blvd. s.,?,702-733-8899,?,?
coyote cafe,3799 las vegas blvd. s,?,?,southwestern,?
coyote cafe (las vegas),3799 las vegas blvd. s.,?,?,southwestern,?
le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,?
le montrachet bistro,3000 paradise rd.,?,702-732-5651,?,?
palace court,3570 las vegas blvd. s,?,702/731-7547,?,?
palace court,3570 las vegas blvd. s.,las vegas,702-731-7110,?,?
second street grille,200 e. fremont st.,las vegas,?,?,71
second street grill,200 e. fremont st.,?,702-385-6277,?,71
steak house,2880 las vegas blvd. s,?,?,steak houses,?
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,?,72
tillerman,2245 e. flamingo rd.,las vegas,702/731-4036,?,?
tillerman  the,2245 e. flamingo rd.,?,?,?,?
abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,?,?,?
abruzzi,2355 peachtree rd. ne,?,404-261-8186,?,74
bacchanalia,3125 piedmont rd.  near peachtree rd.,?,404/365-0410,?,75
bacchanalia,3125 piedmont rd.,?,404-365-0410,californian,?
bone's,3130 piedmont road,?,?,american,76
bone's restaurant,3130 piedmont rd. ne,?,?,?,76
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,?,404/266-1440,?,?
brasserie le coze,3393 peachtree rd.,?,404-266-1440,french bistro,77
buckhead diner,3073 piedmont road,?,?,american,?
buckhead diner,3073 piedmont rd.,atlanta,?,?,?
ciboulette,1529 piedmont ave.,?,404/874-7600,french,?
ciboulette restaurant,1529 piedmont ave.,?,?,?,?
delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american,?
delectables,1 margaret mitchell sq.,?,404-681-2909,cafeterias,80
georgia grille,2290 peachtree rd.  peachtree square shopping center,?,?,american,?
georgia grille,2290 peachtree rd.,?,?,?,?
hedgerose heights inn,490 e. paces ferry rd.,?,404/233-7673,?,?
hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,?,?,82
heera of india,595 piedmont ave.  rio shopping mall,?,?,asian,?
heera of india,595 piedmont ave.,atlanta,?,?,83
indigo coastal grill,1397 n. highland ave.,atlanta,?,caribbean,?
indigo coastal grill,1397 n. highland ave.,atlanta,?,eclectic,?
la grotta,2637 peachtree rd.  peachtree house condominium,?,?,?,?
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,?,?
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern,86
mary mac's tea room,224 ponce de leon ave.,?,?,southern/soul,86
nikolai's roof,255 courtland st.  at harris st.,?,?,continental,87
nikolai's roof,255 courtland st.,?,404-221-6362,?,?
pano's and paul's,1232 w. paces ferry rd.,atlanta,?,?,88
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,?,88
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,?,89
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new),89
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,?,90
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,?,?,?,?
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,?,?,91
